Report Date,shelter_count
2023-09-01,65757
2023-08-01,62933
2023-07-01,58691
2023-06-01,49274
2023-05-01,49274
2023-04-01,49274
2023-03-01,49274
2023-02-01,47761
2023-01-01,48200
2022-12-01,44958
2022-11-01,42338
2022-10-01,41852
2022-09-01,39541
2022-08-01,35811
2022-07-01,33060
2022-06-01,30412
2022-05-01,29355
2022-04-01,28546
2022-03-01,28559
2022-02-01,28108
2022-01-01,28403
2021-12-01,28507
2021-11-01,28382
2021-10-01,28759
2021-10-01,28759
2021-09-01,28296
2021-09-01,28296
2021-08-01,27971
2021-08-01,27971
2021-07-01,28083
2021-07-01,28083
2021-06-01,29176
2021-05-01,29722
2021-04-01,26501
2021-03-01,28653
2021-02-01,30434
2021-01-01,32811
2020-12-01,33547
2020-11-01,33952
2020-10-01,34372
2020-09-01,34962
2020-08-01,35270
2020-07-01,35589
2020-06-01,36016
2020-05-01,36420
2020-04-01,36813
2020-03-01,38510
2020-02-01,40001
2020-01-01,41024
2019-12-01,40903
2019-11-01,41294
2019-10-01,41754
2019-09-01,41879
2019-08-01,41776
2019-07-01,40849
2019-06-01,40318
2019-05-01,40498
2019-04-01,41710
2019-03-01,42222
2019-02-01,42495
2019-01-01,43088
2018-12-01,42688
2018-11-01,43004
2018-10-01,43746
2018-09-01,43499
2018-08-01,43230
2018-07-01,42551
2018-06-01,42315
2018-05-01,42478
2018-04-01,43073
2018-03-01,43408
2018-02-01,43650
2018-01-01,44169
2017-12-01,43819
2017-11-01,44266
2017-10-01,44817
2017-09-01,44745
2017-08-01,44340
2017-07-01,43345
2017-06-01,43250
2017-05-01,43156
2017-04-01,43287
2017-03-01,44251
2017-02-01,44361
2017-01-01,45065
2016-12-01,45213
2016-11-01,45569
2016-10-01,45600
2016-09-01,46243
2016-08-01,46072
2016-07-01,44562
2016-06-01,43541
2016-05-01,43543
2016-04-01,43645
2016-03-01,43809
2016-02-01,43882
2016-01-01,44265
2023-10-01,68141
2023-11-01,67974
2023-12-01,68531
2024-01-01,68421
2024-02-01,66895
2024-03-01,66041
2024-04-01,66564
2024-05-01,67139
2024-06-01,67434
2024-12-01,67298
2024-11-01,66981
2024-10-01,67218
2024-09-01,68336
2024-08-01,68549
2024-07-01,68356
