month_date,affordable_demo,shelter_count,covid_dummy,aff_demo_lag1,aff_demo_lag2
2016-01-01,4.0,44265,0,0.0,0.0
2016-02-01,4.0,43882,0,4.0,0.0
2016-03-01,4.0,43809,0,4.0,4.0
2016-04-01,6.0,43645,0,4.0,4.0
2016-05-01,4.0,43543,0,6.0,4.0
2016-06-01,5.0,43541,0,4.0,6.0
2016-07-01,5.0,44562,0,5.0,4.0
2016-08-01,7.0,46072,0,5.0,5.0
2016-09-01,3.0,46243,0,7.0,5.0
2016-10-01,4.0,45600,0,3.0,7.0
2016-11-01,1.0,45569,0,4.0,3.0
2016-12-01,7.0,45213,0,1.0,4.0
2017-01-01,5.0,45065,0,7.0,1.0
2017-02-01,3.0,44361,0,5.0,7.0
2017-03-01,4.0,44251,0,3.0,5.0
2017-04-01,1.0,43287,0,4.0,3.0
2017-05-01,3.0,43156,0,1.0,4.0
2017-06-01,5.0,43250,0,3.0,1.0
2017-07-01,3.0,43345,0,5.0,3.0
2017-08-01,4.0,44340,0,3.0,5.0
2017-09-01,1.0,44745,0,4.0,3.0
2017-10-01,2.0,44817,0,1.0,4.0
2017-11-01,1.0,44266,0,2.0,1.0
2017-12-01,0.0,43819,0,1.0,2.0
2018-01-01,3.0,44169,0,0.0,1.0
2018-02-01,1.0,43650,0,3.0,0.0
2018-03-01,5.0,43408,0,1.0,3.0
2018-04-01,4.0,43073,0,5.0,1.0
2018-05-01,0.0,42478,0,4.0,5.0
2018-06-01,1.0,42315,0,0.0,4.0
2018-07-01,6.0,42551,0,1.0,0.0
2018-08-01,1.0,43230,0,6.0,1.0
2018-09-01,2.0,43499,0,1.0,6.0
2018-10-01,2.0,43746,0,2.0,1.0
2018-11-01,3.0,43004,0,2.0,2.0
2018-12-01,2.0,42688,0,3.0,2.0
2019-01-01,0.0,43088,0,2.0,3.0
2019-02-01,2.0,42495,0,0.0,2.0
2019-03-01,3.0,42222,0,2.0,0.0
2019-04-01,1.0,41710,0,3.0,2.0
2019-05-01,2.0,40498,0,1.0,3.0
2019-06-01,2.0,40318,0,2.0,1.0
2019-07-01,6.0,40849,0,2.0,2.0
2019-08-01,5.0,41776,0,6.0,2.0
2019-09-01,3.0,41879,0,5.0,6.0
2019-10-01,4.0,41754,0,3.0,5.0
2019-11-01,4.0,41294,0,4.0,3.0
2019-12-01,3.0,40903,0,4.0,4.0
2020-01-01,8.0,41024,0,3.0,4.0
2020-02-01,3.0,40001,0,8.0,3.0
2020-03-01,7.0,38510,1,3.0,8.0
2020-04-01,1.0,36813,1,7.0,3.0
2020-05-01,2.0,36420,1,1.0,7.0
2020-06-01,8.0,36016,1,2.0,1.0
2020-07-01,8.0,35589,1,8.0,2.0
2020-08-01,2.0,35270,1,8.0,8.0
2020-09-01,9.0,34962,1,2.0,8.0
2020-10-01,7.0,34372,1,9.0,2.0
2020-11-01,1.0,33952,1,7.0,9.0
2020-12-01,6.0,33547,1,1.0,7.0
2021-01-01,2.0,32811,1,6.0,1.0
2021-02-01,2.0,30434,1,2.0,6.0
2021-03-01,1.0,28653,1,2.0,2.0
2021-04-01,16.0,26501,1,1.0,2.0
2021-05-01,6.0,29722,1,16.0,1.0
2021-06-01,2.0,29176,1,6.0,16.0
2021-07-01,8.0,28083,1,2.0,6.0
2021-08-01,1.0,27971,1,8.0,2.0
2021-09-01,4.0,28296,1,1.0,8.0
2021-10-01,2.0,28759,1,4.0,1.0
2021-11-01,1.0,28382,1,2.0,4.0
2021-12-01,3.0,28507,1,1.0,2.0
2022-01-01,1.0,28403,0,3.0,1.0
2022-02-01,10.0,28108,0,1.0,3.0
2022-03-01,2.0,28559,0,10.0,1.0
2022-04-01,1.0,28546,0,2.0,10.0
2022-05-01,4.0,29355,0,1.0,2.0
2022-06-01,0.0,30412,0,4.0,1.0
2022-07-01,0.0,33060,0,0.0,4.0
2022-08-01,1.0,35811,0,0.0,0.0
2022-09-01,2.0,39541,0,1.0,0.0
2022-10-01,2.0,41852,0,2.0,1.0
2022-11-01,1.0,42338,0,2.0,2.0
2022-12-01,1.0,44958,0,1.0,2.0
